id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_trade,first_priced_at
WANATHA,WANATHA,WANATHA,Wrapped ANATHA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WANATHA.png,active,0.03531057,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,300000000,300000000,10593170,2,5,0,2020-10-02T00:00:00Z,2020-10-06T00:00:00Z,324,1,0.05677533,2020-10-02T00:00:00Z,752144.33,0.00020020,0.0057,17805.12,0.0242,60061.37,0.0057,
DHT2,DHT2,DHT,dHedge DAO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DHT2.jpg,active,1.60040308,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,6530936,100000000,10452131,8,14,0,2020-09-17T00:00:00Z,2020-09-17T00:00:00Z,325,7,1.60040308,2020-12-06T00:00:00Z,2258728.54,0.14506085,0.0997,653977.72,0.4075,947383.19,0.0997,2020-09-18T00:00:00Z,2020-10-29T15:07:07.586083Z
ZNN,ZNN,ZNN,Zenon,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ZNN.jpg,active,1.85130756,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,5615992,8655200,10396928,6,9,0,2019-06-19T00:00:00Z,2019-10-17T00:00:00Z,326,-14,7.20183069,2019-06-29T00:00:00Z,319467.09,-0.24695566,-0.1177,3245.07,0.0103,-1378277.17,-0.1170,,
VALUE,VALUE,VALUE,Value Liquidity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/VALUE.png,active,3.17317698,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,3244582,6581591,10295632,19,34,0,2020-08-23T00:00:00Z,2020-09-30T00:00:00Z,327,57,26.63255164,2020-09-06T00:00:00Z,26345331.56,1.13547481,0.5572,18805412.55,2.4941,3748495.78,0.5725,2020-09-30T00:00:00Z,2020-12-04T15:24:43.278682Z
VTC,VTC,VTC,Vertcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vtc.svg,active,0.17140045,2020-12-06T00:00:00Z,2020-12-06T20:29:00Z,57711724,84000000,9891815,19,47,0,2014-01-28T00:00:00Z,2018-09-12T00:00:00Z,328,-1,9.44673361,2017-12-05T00:00:00Z,101109.01,0.00029306,0.0017,21521.22,0.2704,19317.24,0.0020,2014-01-28T00:00:00Z,
PHX,PHX,PHX,Red Pulse Phoenix,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/phx.png,active,0.00287921,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,3386665894,3391976087,9750918,7,17,3,2017-10-29T00:00:00Z,2018-08-29T00:00:00Z,329,0,0.76853644,2018-01-08T00:00:00Z,102871.15,0.00001267,0.0044,24019.31,0.3046,42905.32,0.0044,2018-08-17T00:00:00Z,
DCN,DCN,DCN,Dentacoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dcn.svg,active,0.00001094,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,880024076880,8000000000000,9624566,23,52,0,2017-09-29T00:00:00Z,2019-02-20T00:00:00Z,330,74,0.00383962,2018-01-10T00:00:00Z,210833.80,0.00000444,0.6828,-73344.54,-0.2581,3905107.56,0.6828,2017-09-29T00:00:00Z,
MDA,MDA,MDA,Moeda Loyalty Points,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mda.svg,active,0.48990033,2020-12-06T00:00:00Z,2020-12-06T20:50:00Z,19628888,19628888,9616199,14,25,0,2017-10-05T00:00:00Z,2018-08-29T00:00:00Z,331,0,4.96288473,2018-01-13T00:00:00Z,651368.41,0.00342832,0.0070,384626.37,1.4419,67294.05,0.0070,2017-10-05T00:00:00Z,
PI,PI,PI,PHCHAIN,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pi.png,active,0.01187026,2020-12-06T00:00:00Z,2020-12-06T20:49:00Z,796465726,1811546868,9454259,12,25,0,2018-05-31T00:00:00Z,2019-03-21T00:00:00Z,332,38,0.02249904,2019-06-24T00:00:00Z,427576.07,0.00289557,0.3226,320844.11,3.0061,2306233.44,0.3226,2018-05-31T00:00:00Z,
KDA,KDA,KDA,Kadena,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KDA.png,active,0.18267929,2020-12-06T00:00:00Z,2020-12-06T20:48:00Z,51657910,1000000000,9436830,4,6,0,2019-12-19T00:00:00Z,2020-01-07T00:00:00Z,333,-10,0.81309289,2020-08-07T00:00:00Z,278873.44,-0.02648382,-0.1266,-135886.03,-0.3276,-1354701.69,-0.1255,,
