id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,max_supply,first_trade
PAXG,PAXG,PAXG,PAX Gold,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PAXG.png,active,1836.06786169,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,41388,75991401,16,48,1,2019-09-10T00:00:00Z,2019-10-18T00:00:00Z,124,-2,2083.36242310,2020-08-06T00:00:00Z,2248576.95,15.77560611,0.0087,-1593403.18,-0.4147,652922.71,0.0087,41388,2019-10-01T00:00:00Z
RIF,RIF,RIF,RIF Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/rif.jpg,active,0.11346529,2020-12-02T00:00:00Z,2020-12-02T21:06:00Z,666900011,75670006,12,25,0,2018-12-30T00:00:00Z,2019-01-15T00:00:00Z,125,5,0.29399385,2019-01-01T00:00:00Z,903757.04,0.00844507,0.0804,-41056.13,-0.0435,5632016.33,0.0804,1000000000,2019-01-15T00:00:00Z
KMD,KMD,KMD,Komodo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kmd.svg,active,0.60022605,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,122999246,73827351,19,54,1,2017-02-11T00:00:00Z,2018-08-29T00:00:00Z,126,2,11.66730427,2017-12-22T00:00:00Z,3064116.37,0.02310420,0.0400,-1420778.45,-0.3168,2849895.08,0.0402,200000000,2017-11-07T00:00:00Z
SXP,SXP,SXP,Swipe,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SXP.jpg,active,0.95812000,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,76891062,73670864,32,90,0,2019-08-24T00:00:00Z,2019-09-12T00:00:00Z,127,-3,4.30816408,2020-08-13T00:00:00Z,43387865.74,0.01039305,0.0110,-36102852.07,-0.4542,799132.58,0.0110,289136212,2019-09-07T00:00:00Z
STEEM,STEEM,STEEM,Steem,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/steem.svg,active,0.19652269,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,372750857,73254001,20,70,0,2016-04-17T00:00:00Z,2018-08-29T00:00:00Z,128,-5,8.05786047,2018-01-03T00:00:00Z,50947271.38,-0.00242414,-0.0122,12129020.34,0.3125,-890115.77,-0.0120,,2016-07-19T00:00:00Z
DIVI,DIVI,DIVI,Divi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/divi.jpg,active,0.03571583,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,2025671583,72348535,11,19,0,2019-04-20T00:00:00Z,2019-06-07T00:00:00Z,129,-4,0.07842898,2020-07-14T00:00:00Z,196529.26,-0.00010104,-0.0028,-146680.64,-0.4274,-159494.75,-0.0022,,2019-04-20T00:00:00Z
QC,QC,QC,Qcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/QC.png,active,0.15585113,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,460000200,71691551,8,168,58,2018-08-24T00:00:00Z,2019-02-19T00:00:00Z,130,-1,0.15677778,2020-12-02T00:00:00Z,370682487.96,0.00207982,0.0135,-624561156.73,-0.6275,956715.88,0.0135,10000000000,
ARDR,ARDR,ARDR,Ardor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ardr.svg,active,0.07119691,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,998999495,71125680,22,45,0,2016-10-13T00:00:00Z,2018-08-29T00:00:00Z,131,-5,2.19890966,2018-01-13T00:00:00Z,6710087.13,-0.00010737,-0.0015,-10992205.16,-0.6209,-107265.74,-0.0015,998999495,2016-10-13T00:00:00Z
RLC,RLC,RLC,iExec RLC,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/rlc.svg,active,1.01224300,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,70233546,71093415,26,72,0,2017-04-27T00:00:00Z,2018-08-29T00:00:00Z,132,2,3.66859021,2018-01-14T00:00:00Z,1706726.91,0.05842499,0.0613,-463967.22,-0.2137,4103394.27,0.0613,86999784,2017-05-26T00:00:00Z
GNO,GNO,GNO,Gnosis,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/gno.svg,active,63.63007384,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,1104590,70285143,35,70,0,2017-04-25T00:00:00Z,2018-09-12T00:00:00Z,133,-2,404.77473331,2018-01-05T00:00:00Z,659621.98,0.55772643,0.0088,-84063.69,-0.1130,616059.03,0.0088,10000000,2017-04-25T00:00:00Z
