id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
REP,87215331,9399156.58,0.02,$0.09B,$0.01B,$0.09B (0.02%)
BNT,85208552,23566781.34,0.01,$0.09B,$0.02B,$0.09B (0.01%)
ENG,84994281,1580059.42,0.01,$0.08B,$0.00B,$0.08B (0.01%)
YFII,84669837,179739978.17,0.01,$0.08B,$0.18B,$0.08B (0.01%)
REPV2,84448869,552317.52,0.01,$0.08B,$0.00B,$0.08B (0.01%)
GT,84444353,11759588.22,0.01,$0.08B,$0.01B,$0.08B (0.01%)
CKB,84008481,6258882.8,0.01,$0.08B,$0.01B,$0.08B (0.01%)
MAID,83442276,821150.44,0.01,$0.08B,$0.00B,$0.08B (0.01%)
CVC,83051984,197521611.95,0.01,$0.08B,$0.20B,$0.08B (0.01%)
KAVA,82573312,20950632.86,0.01,$0.08B,$0.02B,$0.08B (0.01%)
UOS,78656305,1130821.72,0.01,$0.08B,$0.00B,$0.08B (0.01%)
PAXG,75991401,2248576.95,0.01,$0.08B,$0.00B,$0.08B (0.01%)
RIF,75670006,903757.04,0.01,$0.08B,$0.00B,$0.08B (0.01%)
KMD,73827351,3064116.37,0.01,$0.07B,$0.00B,$0.07B (0.01%)
SXP,73670864,43387865.74,0.01,$0.07B,$0.04B,$0.07B (0.01%)
STEEM,73254001,50947271.38,0.01,$0.07B,$0.05B,$0.07B (0.01%)
DIVI,72348535,196529.26,0.01,$0.07B,$0.00B,$0.07B (0.01%)
QC,71691551,370682487.96,0.01,$0.07B,$0.37B,$0.07B (0.01%)
ARDR,71125680,6710087.13,0.01,$0.07B,$0.01B,$0.07B (0.01%)
RLC,71093415,1706726.91,0.01,$0.07B,$0.00B,$0.07B (0.01%)
GNO,70285143,659621.98,0.01,$0.07B,$0.00B,$0.07B (0.01%)
SUSD,70014426,4876494.71,0.01,$0.07B,$0.00B,$0.07B (0.01%)
BNANA,68255608,449137.63,0.01,$0.07B,$0.00B,$0.07B (0.01%)
CHZ,67996663,17109723.15,0.01,$0.07B,$0.02B,$0.07B (0.01%)
KCS,67447784,7317969.0,0.01,$0.07B,$0.01B,$0.07B (0.01%)
