Date,Close,Volume,Sentiment,Bitcoin
2017-10-01,5360.071612903227,1871269611.3548386,0.0,19.6
2017-11-01,7813.133000000002,4691167010.133333,1.0,37.75
2017-12-01,15294.270967741939,13236661132.387096,-1.0,77.4
2018-01-01,13085.558064516126,13427350263.741936,-1.0,44.75
2018-02-01,9472.00107142857,8204206445.714286,0.0,29.5
2018-03-01,9040.557096774193,6250055134.967742,0.0,18.5
2018-04-01,8033.596666666666,6551667020.8,0.0,14.8
2018-05-01,8450.997741935485,6374571280.5161295,0.0,11.5
2018-06-01,6793.507666666668,4340472652.8,0.0,10.75
2018-07-01,7146.349999999999,4562643219.096774,0.0,10.4
2018-08-01,6700.130000000001,4267508709.677419,0.0,10.5
2018-09-01,6610.675,4324845666.666667,-1.0,9.4
2018-10-01,6485.118709677421,3820544516.129032,0.0,7.75
2018-11-01,5404.250333333334,5278650816.133333,0.0,11.5
2018-12-01,3717.4874193548394,5446026099.0,0.0,10.4
2019-01-01,3701.555161290323,5397926027.870968,0.0,7.75
2019-02-01,3711.9078571428568,7110738414.178572,0.0,7.75
2019-03-01,3976.0700000000006,9611380330.967741,1.0,8.0
2019-04-01,5178.470333333333,14845485223.933332,0.0,9.0
2019-05-01,7309.695161290324,23359931318.19355,0.0,14.5
2019-06-01,9415.9,22528512835.8,0.0,16.4
2019-07-01,10669.336451612902,21819881506.612904,0.0,14.25
2019-08-01,10643.248064516125,17225321668.83871,0.0,12.5
2019-09-01,9814.067666666664,16018165441.0,1.0,10.2
2019-10-01,8411.92935483871,19200165637.032257,0.0,10.0
2019-11-01,8373.572666666667,22563984121.666668,0.0,9.25
2019-12-01,7284.013548387096,20444850755.35484,-1.0,8.4
2020-01-01,8389.270000000002,27512005628.903225,0.0,10.5
2020-02-01,9630.722068965517,40116430785.10345,0.0,11.5
2020-03-01,6871.01548387097,41627163214.451614,-1.0,15.4
2020-04-01,7224.476666666667,38537572161.03333,-1.0,13.25
2020-05-01,9263.15193548387,41495746500.22581,0.0,15.6
2020-06-01,9489.226666666666,21697110622.666668,0.0,10.5
2020-07-01,9589.89935483871,17606881906.741936,1.0,11.75
2020-08-01,11652.394193548387,22850873939.677418,0.0,12.8
2020-09-01,10660.277,35864981281.03333,1.0,9.75
2020-10-01,11886.978387096775,33899178906.0,0.0,11.25
2020-11-01,16285.86833333333,34903656109.875,0.0,19.6
