id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.18437724,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,21695432586,50000000000.0,4000143902,144,426,53,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,11,0,0.89732782,2018-01-03T00:00:00Z,559489505.7,-0.00298178,-0.0159,-368125709.49,-0.3969,-64300610.04,-0.0158,
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,170.00307545,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,18586777,21000000.0,3159809192,126,500,69,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,12,0,422.34138926,2020-01-14T00:00:00Z,487706284.11,-1.84369563,-0.0107,-383917590.41,-0.4405,-34110474.69,-0.0107,
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00382363,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,2972134563,2972959687.0,2983498891,142,1152,360,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-10-26T00:00:00Z,13,0,1.03518545,2020-03-12T00:00:00Z,687097545.57,0.01127051,0.0114,-115070244.53,-0.1434,23013897.6,0.0078,
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,3.04003008,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,948168168,,2882459752,195,984,158,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,14,0,21.4831344,2018-04-29T00:00:00Z,2252978429.7,-0.00478846,-0.0016,-1214018486.79,-0.3502,-4372363.86,-0.0015,
HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.jpeg,active,0.00426703,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,566784709952,626553247752.0,2418487279,25,66,0,2019-12-13T00:00:00Z,2020-06-09T00:00:00Z,2020-03-11T00:00:00Z,15,0,0.01414524,2020-11-01T00:00:00Z,4206391.24,-0.00032901,-0.0716,-1859071.95,-0.3065,-187099406.77,-0.0718,
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,19081.31488656,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,119893,119893.0,2287724461,41,180,6,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,16,0,19701.40944594,2020-11-30T00:00:00Z,49398403.21,186.47260747,0.0099,-23758609.72,-0.3248,22356842.17,0.0099,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,127.34248987,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,17774651,,2263468278,110,347,66,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,17,0,470.19243525,2017-12-20T00:00:00Z,371036899.44,1.17565583,0.0093,-72348338.36,-0.1632,21015182.84,0.0094,
TRX,TRX,TRX,TRON,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TRX.svg,active,0.03089974,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,71660220128,100850743812.0,2214282114,169,838,495,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,2018-08-29T00:00:00Z,18,0,0.20706572,2018-01-04T00:00:00Z,713860435.69,0.0003792,0.0124,-566428344.1,-0.4424,27173254.21,0.0124,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.svg,active,0.02524174,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,75018317003,75018317003.0,1893592906,4,17,1,2020-03-25T00:00:00Z,,2020-04-09T00:00:00Z,19,2,0.04173439,2020-08-04T00:00:00Z,19993969.91,0.00491107,0.2416,-28988795.66,-0.5918,368972245.48,0.242,
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,2.39101305,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,751989233,,1798016071,79,197,0,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,20,-1,4.36023559,2020-08-12T00:00:00Z,155978595.61,0.01746351,0.0074,-84944359.09,-0.3526,13397836.74,0.0075,
XEM,XEM,XEM,NEM,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xem.svg,active,0.19732262,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,8999999999,8999999999.0,1775903604,69,159,21,2015-03-31T00:00:00Z,2015-03-31T00:00:00Z,2018-08-29T00:00:00Z,21,-1,1.82080842,2018-01-07T00:00:00Z,52754564.83,0.01013148,0.0541,-17867540.28,-0.253,91183327.04,0.0541,
OKB,OKB,OKB,OKEx Utility Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OKB.png,active,5.36530584,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,271451285,300000000.0,1456419164,38,191,0,2017-07-09T00:00:00Z,2019-06-13T00:00:00Z,2019-02-14T00:00:00Z,22,0,6.77250723,2020-02-18T00:00:00Z,114057882.62,0.10482345,0.0199,-69665346.51,-0.3792,7092832.16,0.0049,
