id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$
AMPL,380402110,15445222.97,0.07,$0.38B,$0.02B
FTXTOKEN,380068914,12503646.41,0.07,$0.38B,$0.01B
ZIL,363484059,59678495.11,0.06,$0.36B,$0.06B
BAT,359086802,54352167.18,0.06,$0.36B,$0.05B
TUSD,331725307,87726314.95,0.06,$0.33B,$0.09B
DCR,324287222,4179793.23,0.06,$0.32B,$0.00B
DGB,323597991,6577478.45,0.06,$0.32B,$0.01B
SUSHI,319569905,400387866.82,0.06,$0.32B,$0.40B
ZRX,317645217,38192087.99,0.06,$0.32B,$0.04B
REN,296791362,29171663.45,0.05,$0.30B,$0.03B
QTUM,285252652,279646073.68,0.05,$0.29B,$0.28B
ALGO,272090209,137642857.17,0.05,$0.27B,$0.14B
ICX,248379668,17072489.08,0.04,$0.25B,$0.02B
HBAR,245883326,10907740.32,0.04,$0.25B,$0.01B
LRC,239706351,18613303.36,0.04,$0.24B,$0.02B
BITTORRENT,231563787,101271335.2,0.04,$0.23B,$0.10B
BLOCKSTACK,224323476,1417934.76,0.04,$0.22B,$0.00B
RUNE,214438654,16755735.58,0.04,$0.21B,$0.02B
BAL,207501907,31877590.74,0.04,$0.21B,$0.03B
KNC,204002565,30962172.37,0.04,$0.20B,$0.03B
RSR,196922399,31097395.3,0.03,$0.20B,$0.03B
LSK,196616936,4458115.52,0.03,$0.20B,$0.00B
LUNA,191043802,8717708.93,0.03,$0.19B,$0.01B
XWC,180106908,257474.46,0.03,$0.18B,$0.00B
VITAE,179861942,1096475.83,0.03,$0.18B,$0.00B
NEXO,178511368,9062909.6,0.03,$0.18B,$0.01B
SOLO,173596971,9766.79,0.03,$0.17B,$0.00B
OCEAN,164800775,23581250.35,0.03,$0.16B,$0.02B
NMR,164698905,8378820.49,0.03,$0.16B,$0.01B
BTG,160467444,14116356.62,0.03,$0.16B,$0.01B
EGLD,160446474,28704067.29,0.03,$0.16B,$0.03B
SC,155635329,4747080.67,0.03,$0.16B,$0.00B
SNT,155546583,12777652.73,0.03,$0.16B,$0.01B
NXM,153424419,61242.76,0.03,$0.15B,$0.00B
NANO,153277223,6772300.18,0.03,$0.15B,$0.01B
QNT,149186849,5050666.17,0.03,$0.15B,$0.01B
BAND,145061182,59951762.99,0.03,$0.15B,$0.06B
ZEN,143758544,13270945.58,0.02,$0.14B,$0.01B
ENJ,141796491,10801624.42,0.02,$0.14B,$0.01B
MANA,121664083,30859148.91,0.02,$0.12B,$0.03B
XVG,121593239,4457093.33,0.02,$0.12B,$0.00B
ANT,115942169,25777175.94,0.02,$0.12B,$0.03B
BTM,111173121,14121472.9,0.02,$0.11B,$0.01B
HOT,109456235,6588960.66,0.02,$0.11B,$0.01B
CRV,107828944,100912244.24,0.02,$0.11B,$0.10B
RVN,107767774,5086329.54,0.02,$0.11B,$0.01B
IOST,107162328,33397211.11,0.02,$0.11B,$0.03B
KRT,103712477,49094.24,0.02,$0.10B,$0.00B
BCD,103317287,1747663.04,0.02,$0.10B,$0.00B
XDCE,102250322,871043.55,0.02,$0.10B,$0.00B
CHSB,102228045,515692.6,0.02,$0.10B,$0.00B
MONA,101717032,2985570.25,0.02,$0.10B,$0.00B
SOL,98004112,18062799.67,0.02,$0.10B,$0.02B
AR,96832678,2478080.81,0.02,$0.10B,$0.00B
LEND,93433487,1306068.02,0.02,$0.09B,$0.00B
AVAX,93293354,20507716.68,0.02,$0.09B,$0.02B
MATIC,92897563,7842876.24,0.02,$0.09B,$0.01B
HELIUM,89967300,660070.24,0.02,$0.09B,$0.00B
XAUT,89009144,331438.94,0.02,$0.09B,$0.00B
REP,87215331,9399156.58,0.02,$0.09B,$0.01B
BNT,85208552,23566781.34,0.01,$0.09B,$0.02B
ENG,84994281,1580059.42,0.01,$0.08B,$0.00B
YFII,84669837,179739978.17,0.01,$0.08B,$0.18B
REPV2,84448869,552317.52,0.01,$0.08B,$0.00B
GT,84444353,11759588.22,0.01,$0.08B,$0.01B
CKB,84008481,6258882.8,0.01,$0.08B,$0.01B
MAID,83442276,821150.44,0.01,$0.08B,$0.00B
CVC,83051984,197521611.95,0.01,$0.08B,$0.20B
KAVA,82573312,20950632.86,0.01,$0.08B,$0.02B
UOS,78656305,1130821.72,0.01,$0.08B,$0.00B
PAXG,75991401,2248576.95,0.01,$0.08B,$0.00B
RIF,75670006,903757.04,0.01,$0.08B,$0.00B
KMD,73827351,3064116.37,0.01,$0.07B,$0.00B
SXP,73670864,43387865.74,0.01,$0.07B,$0.04B
STEEM,73254001,50947271.38,0.01,$0.07B,$0.05B
DIVI,72348535,196529.26,0.01,$0.07B,$0.00B
QC,71691551,370682487.96,0.01,$0.07B,$0.37B
ARDR,71125680,6710087.13,0.01,$0.07B,$0.01B
RLC,71093415,1706726.91,0.01,$0.07B,$0.00B
GNO,70285143,659621.98,0.01,$0.07B,$0.00B
SUSD,70014426,4876494.71,0.01,$0.07B,$0.00B
BNANA,68255608,449137.63,0.01,$0.07B,$0.00B
CHZ,67996663,17109723.15,0.01,$0.07B,$0.02B
KCS,67447784,7317969.0,0.01,$0.07B,$0.01B
ARK,66809932,3193241.74,0.01,$0.07B,$0.00B
UBT,64787131,1706295.94,0.01,$0.06B,$0.00B
BTS,63617036,8857905.74,0.01,$0.06B,$0.01B
ANKR,62851298,13356298.61,0.01,$0.06B,$0.01B
LPT,59171027,851792.86,0.01,$0.06B,$0.00B
TOMO,58334128,5152630.27,0.01,$0.06B,$0.01B
FTM,58118119,5220874.41,0.01,$0.06B,$0.01B
WAXP,57384732,2716936.85,0.01,$0.06B,$0.00B
IRIS,56725979,2330780.1,0.01,$0.06B,$0.00B
ELF,56202095,34943770.11,0.01,$0.06B,$0.03B
PNK,55915887,1068063.11,0.01,$0.06B,$0.00B
STORJ,54616717,23556904.45,0.01,$0.05B,$0.02B
TTT2,54140117,1847580.66,0.01,$0.05B,$0.00B
UTK,53751495,2869452.88,0.01,$0.05B,$0.00B
POLY,53324480,2414034.91,0.01,$0.05B,$0.00B
AGI,52909777,799429.1,0.01,$0.05B,$0.00B
SHR,52116661,1729297.62,0.01,$0.05B,$0.00B
ETN,51455146,1411932.16,0.01,$0.05B,$0.00B
NRG,50913359,1544257.86,0.01,$0.05B,$0.00B
NPXS,48936403,6020725.96,0.01,$0.05B,$0.01B
SYS,48478977,3734880.94,0.01,$0.05B,$0.00B
UQC,47316899,6179852.75,0.01,$0.05B,$0.01B
RPL,47204015,1477042.39,0.01,$0.05B,$0.00B
TRAC,47127471,280017.79,0.01,$0.05B,$0.00B
